product,marketing_name,brand,cpu,cpu_make,device,memory_mb
j3topeltevzw,Galaxy J3 V,Verizon,Exynos 7883,Samsung,j3topeltevzw,2048
E101GC4G,E101GC4G,GREATASIA,MT6739WA,Mediatek,E101GC4G,2048
r9qxeea,Galaxy S21 FE 5G,samsung,SM8350,Qualcomm,r9q,6144
IS540_ROW,IS540,isafemobile,QCM6490,Qualcomm,IS540,8192
W_C800-ALT,W_C800,WIKO,MSM8940,Qualcomm,W_C800,3072
1819N,vivo 1819,vivo,MT6771T,Mediatek,1819N,6144
M10-4G,M10 4G,Multilaser,MT8765A,Mediatek,ML-JI03-M10-4G,2048
SHOCK6,SHOCK6,RT_project,SC7731E,Spreadtrum,SHOCK6,2048
Earn,Earn,Cellallure,MT6580,Mediatek,Earn,2048
IF9002_TW,M5s,InFocus,MT6737,Mediatek,AB5,3072
X10_Plus,X10+,Gplus,SC9863A,Spreadtrum,X10_Plus,4096
STFAERIAL,AERIAL,STF,MT6580,Mediatek,STFAERIAL,2048
Haier_Voyage_V6,Voyage V6,Haier,MT6750,Mediatek,HM-V6,3072
a50cml_dtul_00708,Desire 728 dual sim,htc,MT6753,Mediatek,htc_a50cml_dtul,2048
HKC_4K_ATV_PA_FLEXY,4K Smart TV,FLEXY,t32,Mediatek,pioneer,2048
g2_bell_ca,LG G2,lge,MSM8974,Qualcomm,g2,2048
GN2200,OnePlus Nord N20 5G,OnePlus,SM6375,QTI,OP515AL1,6144
Alpha_950XL,Alpha_950XL,LANIX,MSM8917,Qualcomm,Alpha_950XL,2048
C5L_PLUS,C5L PLUS,BLU,SC9832E,Spreadtrum,C0130UU,2048
GEN_CN_P865A02,ZTE Axon 10s Pro 5G,ZTE,SM8150,Qualcomm,P865A02,6144
a32ul_emea_orange_pl,Desire 626,htc,MSM8916,Qualcomm,htc_a32ul_emea,2048
H632IN,NOTE 5 Stylus,Infinix,MT6763,Mediatek,Infinix-X605_sprout,4096
me1ds_global_com_nr,LG K4 LTE,lge,MSM8909,Qualcomm,me1ds,1536
WX,WX,Wings,MT6771,Mediatek,WX,6144
PMT4991_4G,HP10A4L,Prestigio,SC9863A,Spreadtrum,HP10A4L,2048
W-V600JP,Tommy3 Plus,WIKO,MT6739WA,Mediatek,W-V600,2048
uce4027cjh,T1100UA,LGHelloVision,BG5-CT,Marvell,uce4027cjh,3072
V2_Viper_X_plus,V2 Viper X plus,ALLVIEW,MT6753,Mediatek,V2_Viper_X_plus,3072
X_style_Tab_A1010,X_style_Tab_A1010,Sigma_mobile,SC9863A,Spreadtrum,X_style_Tab_A1010,4096
MTCMSD6886US_Adonis,Adonis,Adonis,T22,MStar,seocho,1536
VF550_RU,VF550,Bluebird,MSM8953,Qualcomm,VF550,2048
GACRUX,GACRUX,HPADIA10,MT8168B,Mediatek,GACRUX,3072
Lcd-60foc518h1a,LCD-60X518H1A,SHARP,MSD6A648,MStar,cv6a648_4K_base,2048
HLTE228E_14,Hisense E50 Lite,Hisense,SC9863A,Spreadtrum,HLTE228E_14,3072
TM101_2,TM101,IRIS_OHYAMA,MT8768E,Mediatek,Odin2,3072
