manufacturer,brand,product,device,marketing_name,cpu_model,cpu_make,ram_mb
My,Lifemaxx,BODRUM_Lifemaxx,finch,Android TV,t32,Mediatek,1536
My,Ecoworks,BODRUM_Ecoworks,finch,Android TV,t32,Mediatek,1536
My,Nordmende,BODRUM_Nordmende,finch,Android TV,t32,Mediatek,1536
My,Dual,BODRUM_Dual,finch,Android TV,t32,Mediatek,1536
My,Procaster,BODRUM_Procaster,finch,Android TV,t32,Mediatek,1536
My,Graetz,BODRUM_Graetz,finch,Android TV,t32,Mediatek,1536
My,Arena,BODRUM_Arena,finch,Android TV,t32,Mediatek,1536
My,Elbe,BODRUM_Elbe,finch,Android TV,t32,Mediatek,1536
My,CONTINENTALEDISON,Bodrum_CONTINENTALEDISON,finch,Android TV,t32,Mediatek,1536
My,United,BODRUM_United,finch,Android TV,t32,Mediatek,1536
Changhong,CHiQ,ISDB61,yokohama,ISDB61,t32,Mediatek,1536
ARCELIK,ARCELIK,GoAr,wanchai,Arcelik Google TV,t31,Mediatek,2048
ARCELIK,GRUNDIG,GoGr,wanchai,Grundig Google TV,t31,Mediatek,2048
ARCELIK,BEKO,GoBk,wanchai,Beko Google TV,t31,Mediatek,2048
ARCELIK,ALTUS,GoAl,wanchai,4K Pro TV,t31,Mediatek,2048
TPV,Philips,PH3M_AP_T32,PH3M_AL_T32,Philips Google TV TA7,t32,Mediatek,2048
TPV,AOC,AOC3M_AP_T32,PH3M_AL_T32,AOC Google TV TA7,t32,Mediatek,2048
TPV,Philips,PH3M_LT_T32,PH3M_AL_T32,Philips Google TV TA7,t32,Mediatek,2048
MTC,Blaupunkt,MSD9602PA_Blaupunkt,expo,Blaupunkt,t32,Mediatek,2048
MTC,JVC,MSD9602PA,expo,JVC,t32,Mediatek,2048
MTC,JVC,MTK9612PA,kaitak,JVC,t31,Mediatek,2048
MTC,JVC,MTK9612PA_JVC,kaitak,JVC,t31,Mediatek,2048
MTC,EKO,MSD9602PA_EKO,expo,EKO,t32,Mediatek,2048
KTC,BLAUPUNKT,KTC_BLAUPUNKT_4K_SA_22GV1A,lavender,Blaupunkt,t32,Mediatek,2048
KTC,RANGS,KTC_RANGS_4K_DVB_22GV1A,lavender,RANGS,t32,Mediatek,2048
KTC,INNOVA,KTC_INNOVA_4K_SA_22GV1A,lavender,INNOVA,t32,Mediatek,2048
KTC,KTC,UHD_COL_22GV1A,lavender,EcoTVCOL,t32,Mediatek,2048
KTC,INDURAMA,KTC_INDURAMA_4K_SA_22GV1A,lavender,Indurama,t32,Mediatek,2048
KTC,JVC,JVC_K4C_22GV1A,lavender,JVC,t32,Mediatek,2048
KTC,PHIMARK,KTC_PHIMARK_4K_SA_22GV1A,lavender,PHIMARK,t32,Mediatek,2048
KTC,KTC,UHD_ISDB_22GV1A,lavender,EcoTVISDB,t32,Mediatek,2048
